YEAR,FIELD,PRODUCTION,delta_prod
2003,K05a-D,199947.0700224,0
2003,K05a-En,183906.50091466,0
2003,K05a-Es,5360.931396815,0
2003,K06-A,14586.398317860005,0
2003,K06-C,96037.977334595,0
2003,K06-D,200729.21565085,0
2003,K06-DN,172165.94995704494,0
2003,K06-G,71122.33343289001,0
2003,K06-N,0.0,0
2003,K06-T,49614.800256940005,0
2003,K07-FA,56369.38302500001,0
2003,K07-FB,1818.67346,0
2003,K07-FC,283236.23818,0
2003,K07-FD,78865.4454,0
2003,K07-FE,123615.994615,0
2003,K08-FA,699425.5236400001,0
2003,K08-FC,0.0,0
2003,K09ab-A,121526.208,0
2003,K09ab-B,1160.4065,0
2003,K09c-A,123108.58050000004,0
2003,K10-B (gas),0.0,0
2003,K12-A,50108.46250000001,0
2003,K12-B,176803.754,0
2003,K12-D,18566.504,0
2003,K12-G,558366.5095,0
2003,K12-S1,7278.913500000001,0
2003,K14-FA,60651.28301000001,0
2003,K14-FB,426784.85172,0
2003,K15-FA,419320.2731799999,0
2003,K15-FB,154440.610915,0
2003,K15-FC,32089.45938500001,0
2003,K15-FG,133416.154965,0
2003,K15-FK,300654.99466,0
2003,K15-FL,39812.4921,0
2003,Kiel-Windeweer,21237.54878,0
2003,Kollum,53936.749035,0
2003,Kollum-Noord,674212.0002250001,0
2003,Kollumerland,98120.808895,0
2003,Kommerzijl,92533.979055,0
2003,Kotter,0.8101747200000002,0
2003,L01-A,193294.91528118,0
2003,L02-FA,107188.85823499998,0
2003,L04-A,194822.21383377496,0
2003,L04-B,0.0,0
2003,L04-F,140122.55343552,0
2003,L04-I,94150.47172576,0
2003,L05a-A,572058.251285,0
2003,L07-A,0.0,0
2003,L07-B,121.70132389,0
2003,L07-C,24009.523607539995,0
2003,L07-G,181252.08054014505,0
2003,L07-H,3122.1222143400005,0
2003,L07-H South-East,32367.551857640003,0
2003,L07-N,1968.845884825,0
2003,L08-A,24230.934442315,0
2003,L08-G,42809.75141019501,0
2003,L08-H,31204.568200295,0
2003,L08-P,175527.07898836004,0
2003,L09-FC,212855.474125,0
2003,L09-FD,1014840.88898,0
2003,L09-FF,285451.55968,0
2003,L09-FI,234925.35084,0
2003,L10-CDA,235878.9940000001,0
2003,L10-G,15085.284499999998,0
2003,L10-M,544547.123,0
2003,L10-S2,33440.805499999995,0
2003,L10-S3,26478.3665,0
2003,L10-S4,21203.791500000003,0
2003,L11b-A,37894.39184633499,0
2003,L12b-C,46619.85859500001,0
2003,L13-FB,0.0,0
2003,L13-FC,152050.17352500002,0
2003,L13-FD,39101.47939,0
2003,L13-FE,114122.81453000002,0
2003,L13-FF,0.0,0
2003,L13-FG,120651.683465,0
2003,L13-FH,26849.696580000003,0
2003,L15b-A,228241.4094,0
2003,Leens,232961.09911000004,0
2003,Leeuwarden 101 Rotliegend,0.0,0
2003,Leeuwarden-Nijega,43572.48976739001,0
2003,Loon op Zand,17893.907074640003,0
2003,Maasdijk,936.76452,0
2003,Markham,177746.519931435,0
2003,Marum,32109.502770000003,0
2003,Metslawier,386594.70005,0
2003,Middelburen,5300.862426885001,0
2003,Molenpolder,94543.59213,0
2003,Monster,126356.663785,0
2003,Munnekezijl,392625.649105,0
2003,Nijensleek,14678.78988339,0
2003,Noordwolde,8750.39544503,0
2003,Norg-Zuid,65311.89748,0
2003,Oldelamer,105191.609818715,0
2003,Oldenzaal,165.621655,0
2003,Oosterhesselen,166109.02573000002,0
2003,Oostrum,272573.15736,0
2003,Opeinde,22353.67627779,0
2003,Opeinde-Zuid,8820.923897185,0
2003,Opende-Oost,117827.67601,0
2003,Oppenhuizen,0.0,0
2003,Oud-Beijerland Zuid,188006.9513,0
2003,Oude Pekela,190453.299185,0
2003,P06-Main,76028.98045376498,0
2003,P12-SW,50139.587767075,0
2003,P14-A,142736.089524295,0
2003,Pasop,1028.542125,0
2003,Pernis,43041.577420765,0
2003,Pernis-West,447737.420487325,0
2003,Q01-B,327374.94935398,0
2003,Q04-A,293069.29288953,0
2003,Q04-B,373359.813468795,0
2003,Q08-A,14978.984935110002,0
2003,Q08-B,0.0,0
2003,Q16-FA,457054.58273,0
2003,Rammelbeek,0.0,0
2003,Reedijk,129093.113295,0
2003,Ried,4852.99720872,0
2003,Roden,121.315225,0
2003,Rossum-Weerselo,92226.99878999995,0
2003,Roswinkel,37176.259515000005,0
2003,Rotterdam,59116.87327539,0
2003,Saaksum,364257.92984,0
2003,Schermer,0.0,0
2003,Schoonebeek Gas,171505.97086999996,0
2003,Schoonebeek Olie,0.0,0
2003,Sebaldeburen,253868.459495,0
2003,Sleen,0.0,0
2003,Slootdorp,27964.428425245,0
2003,Sprang,20122.57535922,0
2003,Starnmeer,20353.849649245,0
2003,Suawoude,0.0,0
2003,Tietjerksteradeel,308032.0152550001,0
2003,Tubbergen,74040.26419000003,0
2003,Tubbergen-Mander,16969.362690000005,0
2003,Ureterp,198922.156805,0
2003,Vries,200539.3415,0
2003,Waalwijk-Noord,95775.558789025,0
2003,Wanneperveen,39663.749085,0
2003,Warffum,2946.377595,0
2003,Warga-Wartena,8023.325873815001,0
2003,Weststellingwerf,753.330625225,0
2003,Zuid-Schermer,6960.758520405001,0
2003,Zuidwal,103837.84056396002,0
2004,'s-Gravenzande,940385.565318505,-28322
2004,Ameland-Noord,0.0,0
2004,Ameland-Oost,620894.6751247849,44150
2004,Ameland-Westgat,260715.00342327,-14863
2004,Anjum,930923.2773643648,-262297
2004,Annerveen,601620.2282174352,115753
2004,Appelscha,156363.17873369,-84600
2004,Barendrecht,88176.12097034,46657
2004,Barendrecht-Ziedewij,169318.48330227498,-45210
2004,Bedum,427921.65977145015,74170
2004,Bergen,76166.01391226501,-9908
2004,Bergermeer,171740.4447172199,-42904
2004,Berkel,3904.0231025099993,151
2004,Blija-Ferwerderadeel,60957.60078837999,41720
2004,Blija-Zuidoost,98071.328106925,26473
2004,Blijham,101887.45780146496,10346
2004,Boerakker,230991.64242939005,-81070
2004,Botlek,562243.26937925,27129
2004,Bozum,2508.13003689,662
2004,Castricum-Zee,9301.749934525002,-10694
2004,Coevorden,413643.2227895401,-265732
2004,Collendoornerveen,11392.996551885,3431
2004,D15a-A,230.8129756955,-419297
2004,D15a-A104,82.2961344715,0
2004,Dalen,105018.553122795,-63457
2004,De Blesse,85121.15569981502,-26042
2004,De Wijk,311765.5640935099,-36168
2004,Den Velde,19015.79440833,-625
2004,Eleveld,71184.32445795,-14338
2004,Emmen,131765.591704485,91267
2004,Emmen-Nieuw Amsterdam,35087.41388418,-2958
2004,Engwierum,0.0,-40307
2004,Ezumazijl,63161.07453801501,-5314
2004,F02a-Hanze,118596.27863968,-18347
2004,F03-FB,757770.5145549749,-99187
2004,F15a-A,89991.77315378001,-6317
2004,Feerwerd,21048.667304165,-12008
2004,Franeker,1730.901367255,1730
2004,G17cd-A,564765.9171563699,130140
2004,Gaag,385354.8173088151,136062
2004,Groet,64742.96494186001,-14372
2004,Groningen,34638239.34876864,4003302
2004,Grootegast,225161.8804337,-702
2004,Grouw-Rauwerd,15216.782819495003,-4828
2004,Halfweg,72083.90849877501,-12497
2004,Hardenberg,210425.17782664008,-123833
2004,Harlingen Lower Cretaceous,6713.1014004300005,1500
2004,Harlingen Upper Cretaceous,72411.52501100504,72411
2004,Haven,546.191735485,12
2004,Helder,4810.016806874999,195
2004,Helm,2607.46927261,-274
2004,Hoogenweg,127.928487135,-1288
2004,Hoorn,1123.0361361249998,-128
2004,Horizon,4449.444750045001,-139
2004,Houwerzijl,298.495583655,-6693
2004,J03-C Unit,302005.09492038505,6375
2004,K01-A Unit,703535.9682900499,-115502
2004,K04-A,43599.47871275,-15587
2004,K04-E,116037.743709175,51577
2004,K04-N,397697.81756395,76027
2004,K04a-B,203377.91944098,203377
2004,K05a-A,861359.3055111597,258542
2004,K05a-B,159784.18579532002,22203
2004,K05a-D,353633.3618568201,153686
2004,K05a-En,125350.61033797002,-58555
2004,K05a-Es,70422.28339957002,65061
2004,K06-A,71836.68283903501,57250
2004,K06-C,119525.86129836002,23487
2004,K06-D,225563.45492675004,24834
2004,K06-DN,251707.8511614749,79541
2004,K06-G,71120.121276135,-2
2004,K06-N,8.339103075,8
2004,K06-T,47372.735606775,-2242
2004,K07-FA,24711.95141927,-31657
2004,K07-FB,678737.7269336102,676919
2004,K07-FC,169717.38991529003,-113518
2004,K07-FD,0.0,-78865
2004,K07-FE,0.0,-123615
2004,K08-FA,862858.4483824053,163432
2004,K09ab-A,92427.210052935,-29098
2004,K09ab-B,44714.516483345,43554
2004,K09c-A,95486.636558995,-27621
2004,K12-A,25506.681128755004,-24601
2004,K12-B,165911.66168264998,-10892
2004,K12-C,0.0,0
2004,K12-D,14186.523292875,-4379
2004,K12-G,1055926.71623075,497560
2004,K12-S1,8390.69263816,1111
2004,K14-FA,76900.54595218999,16249
2004,K14-FB,333862.671329405,-92922
2004,K15-FA,683727.3968199,264407
2004,K15-FB,12703.479479445,-141737
2004,K15-FC,0.0,-32089
2004,K15-FG,73129.363021055,-60286
2004,K15-FK,737281.5302942301,436626
2004,K15-FL,342244.68307203,302432
2004,K15-FM,49325.375887370006,0
2004,Kiel-Windeweer,97027.405321225,75789
2004,Kollum,26699.597999225003,-27237
2004,Kollum-Noord,645381.4760356051,-28830
2004,Kollumerland,85629.34939700001,-12491
2004,Kommerzijl,89508.69698274501,-3025
2004,Kotter,568.84814494,568
2004,L01-A,170149.311148145,-23145
2004,L02-FA,68793.10010136,-38395
2004,L04-A,184856.50250808,-9965
2004,L04-B,0.92621537,0
2004,L04-F,119649.675616995,-20472
2004,L04-I,110536.332446555,16385
2004,L05a-A,739593.7088149552,167535
2004,L07-A,2.98962911,2
2004,L07-B,86.643333695,-35
2004,L07-C,33554.414570925,9544
2004,L07-G,123218.480489785,-58033
2004,L07-H,12903.98400875,9781
2004,L07-H South-East,33322.767895905,955
2004,L07-N,2.319758085,-1966
2004,L08-A,43522.70305396501,19291
2004,L08-G,40093.585805815,-2716
2004,L08-H,28435.118839265004,-2769
2004,L08-P,190272.542664495,14745
2004,L09-FC,105172.724730385,-107682
2004,L09-FD,1811500.4072202493,796659
2004,L09-FF,225177.540646875,-60274
2004,L09-FI,76086.39842230002,-158838
2004,L10-CDA,474786.8314652951,238907
2004,L10-G,14209.294688065002,-875
2004,L10-M,776905.1134906048,232357
2004,L10-S2,30319.37109024,-3121
2004,L10-S3,20579.76286124,-5898
2004,L10-S4,19209.51055961,-1994
2004,L11b-A,32675.516358335,-5218
2004,L12b-C,50619.20803657,3999
2004,L13-FB,0.0,0
2004,L13-FC,241428.61804286507,89378
2004,L13-FD,30566.93432278,-8534
2004,L13-FE,45370.68099775,-68752
2004,L13-FF,7320.801009905,7320
2004,L13-FG,48014.991066905,-72636
2004,L13-FH,22448.075346565,-4401
2004,L15b-A,253130.6234612949,24889
2004,Leens,208544.451101595,-24416
2004,Leeuwarden-Nijega,90842.69185582506,47270
2004,Loon op Zand,11815.88771234,-6078
2004,Maasdijk,2506.042360105,1569
2004,Markham,186397.7090600349,8651
2004,Marum,22064.49453867,-10045
2004,Metslawier,292734.238171635,-93860
2004,Middenmeer,5505.714260905,0
2004,Molenpolder,99673.659598725,5130
2004,Monster,149572.217221855,23215
2004,Munnekezijl,302614.5435789301,-90011
2004,Nijensleek,40271.917076735,25593
2004,Noordwolde,8865.809475520002,115
2004,Norg-Zuid,72220.63286718,6908
2004,Oldelamer,108120.44101252002,2928
2004,Oldenzaal,252.180595495,86
2004,Oosterhesselen,103442.406731125,-62666
2004,Oostrum,203514.1553837401,-69059
2004,Opeinde,20473.4949438,-1880
2004,Opeinde-Zuid,9188.019548375,367
2004,Opende-Oost,95101.47126877,-22726
2004,Oud-Beijerland Zuid,227554.38967676,39547
2004,Oude Pekela,95863.034450655,-94590
2004,P06-Main,71047.59059531002,-4981
2004,P12-SW,49958.20673689,-181
2004,P14-A,121423.844322975,-21312
2004,Pasop,20353.47304459,19324
2004,Pernis,301684.468274945,258642
2004,Pernis-West,275385.15777247003,-172352
2004,Q01-B,1740325.9050758649,1412950
2004,Q04-A,259943.43859227,-33125
2004,Q04-B,282330.49660032004,-91029
2004,Q05-A,27789.74399548,0
2004,Q08-A,5335.676731715001,-9643
2004,Q08-B,0.0,0
2004,Q16-FA,446405.66308896,-10648
2004,Reedijk,243936.69322417505,114843
2004,Ried,4983.469095920001,130
2004,Rossum-Weerselo,82139.71167529999,-10087
2004,Roswinkel,56125.724032875005,18949
2004,Rotterdam,57564.144941805,-1552
2004,Saaksum,312354.60436646506,-51903
2004,Schermer,0.0,0
2004,Schoonebeek Gas,146305.96091615,-25200
2004,Schoonebeek Olie,0.0,0
2004,Sebaldeburen,223257.42550556,-30611
2004,Sleen,0.0,0
2004,Slootdorp,28576.087130715,611
2004,Sprang,12544.91204105,-7577
2004,Starnmeer,0.0,-20353
2004,Tietjerksteradeel,302703.1701528247,-5328
2004,Tubbergen,53920.89999204001,-20119
2004,Tubbergen-Mander,14401.91900232,-2567
2004,Ureterp,179002.80660086998,-19919
2004,Vries,195806.90314222503,-4732
2004,Waalwijk-Noord,62543.36484010502,-33232
2004,Wanneperveen,49313.152587265,9649
2004,Warffum,68.94080508,-2877
2004,Warga-Wartena,8167.598159044998,144
2004,Weststellingwerf,7802.639765644999,7049
2004,Zuid-Schermer,0.0,-6960
2004,Zuidwal,122992.67065946,19154
2005,'s-Gravenzande,416512.66121393,-523872
2005,Ameland-Noord,0.0,0
2005,Ameland-Oost,564929.4743427149,-55965
2005,Ameland-Westgat,205831.720300455,-54883
2005,Anjum,703623.5621021601,-227299
2005,Annerveen,464330.5224246151,-137289
2005,Appelscha,48980.689795525,-107382
2005,Barendrecht,41640.63764178501,-46535
2005,Barendrecht-Ziedewij,81306.82990992501,-88011
2005,Bedum,454881.00632638,26959
2005,Bergen,125509.844482645,49343
2005,Bergermeer,74408.66160630001,-97331
2005,Berkel,4525.114857910002,621
2005,Blija-Ferwerderadeel,48942.16535464001,-12015
2005,Blija-Zuidoost,95723.33522195,-2347
2005,Blijham,58679.32407101001,-43208
2005,Boerakker,191588.677826625,-39402
2005,Botlek,477127.592907945,-85115
2005,Bozum,2072.907975,-435
2005,Castricum-Zee,0.0,-9301
2005,Coevorden,310403.72368409,-103239
2005,Collendoornerveen,9162.581328065,-2230
2005,D12-A,789548.6463702598,0
2005,D15a-A,6830.94595508,6600
2005,D15a-A104,253567.386754,253485
2005,Dalen,111979.532120435,6960
2005,De Blesse,35252.094555,-49869
2005,De Wijk,373442.2287031701,61676
2005,Den Velde,17248.250568550004,-1767
2005,Een,32131.087385815,0
2005,Eleveld,47458.99178666499,-23725
2005,Emmen,112761.48153469502,-19004
2005,Emmen-Nieuw Amsterdam,33139.005922565,-1948
2005,Engwierum,0.0,0
2005,Ezumazijl,33560.66916196,-29600
2005,F02a-Hanze,82983.83356,-35612
2005,F03-FB,702588.7622213801,-55181
2005,F15a-A,73466.82294515001,-16524
2005,F16-E,18169.525771605,0
2005,Feerwerd,5878.502233435,-15170
2005,Franeker,565.43444,-1165
2005,G17cd-A,374908.7578222751,-189857
2005,Gaag,320973.81269192504,-64381
2005,Geestvaartpolder,51114.77967578,0
2005,Groet,53359.967929260005,-11382
2005,Groningen,35637842.84821931,999603
2005,Grootegast,182282.99727881,-42878
2005,Grouw-Rauwerd,10131.40366,-5085
2005,Halfweg,56145.468876930005,-15938
2005,Hardenberg,230340.93920994003,19915
2005,Harlingen Lower Cretaceous,700.46356,-6012
2005,Harlingen Upper Cretaceous,62214.66703999999,-10196
2005,Haven,618.959772185,72
2005,Helder,3084.5018356100027,-1725
2005,Helm,2021.228744065,-586
2005,Hoogenweg,693.8028266900001,565
2005,Hoorn,979.228013495,-143
2005,Horizon,3866.0208445499993,-583
2005,Houwerzijl,0.0,-298
2005,J03-C Unit,258497.0098235749,-43508
2005,K01-A Unit,1043029.6197620352,339493
2005,K02b-A,8746.367779560002,0
2005,K04-A,64625.19845092,21025
2005,K04-E,200049.577167865,84011
2005,K04-N,403598.14282399,5900
2005,K04a-B,203322.19883068005,-55
2005,K05-C Unit,44563.629881065,0
2005,K05a-A,774455.07445802,-86904
2005,K05a-B,148174.786090165,-11609
2005,K05a-D,288277.03452176496,-65356
2005,K05a-En,85392.46928866502,-39958
2005,K05a-Es,39894.096104740005,-30528
2005,K06-A,57084.57425331501,-14752
2005,K06-C,85664.11728557001,-33861
2005,K06-D,178940.860937155,-46622
2005,K06-DN,200724.23223239,-50983
2005,K06-G,61232.877692885006,-9887
2005,K06-N,56.20692611500001,47
2005,K06-T,35489.151889055,-11883
2005,K07-FA,11591.497797605,-13120
2005,K07-FB,467941.274937465,-210796
2005,K07-FC,173189.80931436003,3472
2005,K07-FD,88686.63864527,88686
2005,K07-FE,92457.009291855,92457
2005,K08-FA,777047.1250929895,-85811
2005,K09ab-A,65924.74507467501,-26502
2005,K09ab-B,171630.937155815,126916
2005,K09c-A,64758.85407159001,-30727
2005,K12-A,7599.602385425,-17907
2005,K12-B,155974.90355404498,-9936
2005,K12-B9,49199.194339475,0
2005,K12-C,0.0,0
2005,K12-D,9183.839975145,-5002
2005,K12-G,775645.9912096502,-280280
2005,K14-FA,62920.98432333501,-13979
2005,K14-FB,234408.94779428496,-99453
2005,K15-FA,388385.49843604,-295341
2005,K15-FB,2500.15487949,-10203
2005,K15-FC,0.0,0
2005,K15-FG,87934.135073405,14804
2005,K15-FK,487228.6508830551,-250052
2005,K15-FL,120991.59184681,-221253
2005,K15-FM,263595.49524703,214270
2005,Kiel-Windeweer,59108.008824645,-37919
2005,Kollum,33635.083920975005,6935
2005,Kollum-Noord,441789.47425435495,-203592
2005,Kollumerland,66508.2765815,-19121
2005,Kommerzijl,70749.89147248001,-18758
2005,Kotter,0.0,-568
2005,L01-A,161248.84455013002,-8900
2005,L02-FA,5238.864017420001,-63554
2005,L04-A,164831.30107793503,-20025
2005,L04-B,40.83153999,39
2005,L04-F,122127.77116892,2478
2005,L04-I,109400.859917495,-1135
2005,L05-B,131161.51045346,0
2005,L05a-A,543942.362383715,-195651
2005,L07-A,0.0,-2
2005,L07-B,0.0,-86
2005,L07-C,40524.014333945,6969
2005,L07-G,71411.906545475,-51806
2005,L07-H,337.58545898,-12566
2005,L07-H South-East,42281.67573000501,8958
2005,L07-N,36.102356045,33
2005,L08-A,36098.105792465,-7424
2005,L08-G,36028.82424984001,-4064
2005,L08-H,20705.790391545004,-7729
2005,L08-P,130400.78803882998,-59871
2005,L09-FC,40957.99898054,-64214
2005,L09-FD,1635138.4895991902,-176361
2005,L09-FF,104097.7252037,-121079
2005,L09-FI,45492.368607745,-30594
2005,L10-CDA,392663.9298605202,-82122
2005,L10-G,12971.244334235002,-1238
2005,L10-M,426965.3656100551,-349939
2005,L10-S2,27226.246379420005,-3093
2005,L10-S3,2611.103454785,-17968
2005,L10-S4,15275.377018255002,-3934
2005,L11b-A,29801.24114867,-2874
2005,L12b-C,37467.879162685,-13151
2005,L13-FB,0.0,0
2005,L13-FC,185924.42144528503,-55504
2005,L13-FD,23860.990520625,-6705
2005,L13-FE,9794.144169755,-35576
2005,L13-FF,0.0,-7320
2005,L13-FG,9693.201463235,-38321
2005,L13-FH,13142.435940435002,-9305
2005,L15b-A,190639.88938545497,-62490
2005,Lauwersoog,0.0,0
2005,Leens,191478.08897734497,-17066
2005,Leeuwarden-Nijega,70448.27861500003,-20394
2005,Loon op Zand,0.0,-11815
2005,Loon op Zand-Zuid,57961.860555785,0
2005,Maasdijk,0.0,-2506
2005,Markham,137319.89956995,-49077
2005,Marum,8761.597587415,-13302
2005,Metslawier,220641.10549610003,-72093
2005,Middenmeer,4991.857780000001,-513
2005,Molenpolder,62129.678867940005,-37543
2005,Monster,117860.22224758,-31711
2005,Munnekezijl,230687.48933659,-71927
2005,Nijensleek,11894.166625,-28377
2005,Noordwolde,8953.063605000001,87
2005,Norg-Zuid,55041.165921375,-17179
2005,Oldelamer,87390.21351500001,-20730
2005,Oldenzaal,2504.246894775,2252
2005,Oosterhesselen,134808.30624711508,31365
2005,Oostrum,108055.347482445,-95458
2005,Opeinde,18392.443025,-2081
2005,Opeinde-Zuid,6586.889260000001,-2601
2005,Opende-Oost,69320.898338905,-25780
2005,Oud-Beijerland Zuid,64098.43719482,-163455
2005,Oude Pekela,65845.82160895,-30017
2005,P06-Main,66027.78600713002,-5019
2005,P12-SW,60577.435795255005,10619
2005,P14-A,62905.171147484994,-58518
2005,Pasop,19358.48354608,-994
2005,Pernis,310913.495534115,9229
2005,Pernis-West,320401.0297140351,45015
2005,Q01-B,1628809.1145849251,-111516
2005,Q04-A,192761.94585030503,-67181
2005,Q04-B,262111.8047707049,-20218
2005,Q05-A,77728.43902453,49938
2005,Q08-A,0.0,-5335
2005,Q08-B,0.0,0
2005,Reedijk,309673.65920919,65736
2005,Ried,1558.109455,-3425
2005,Rossum-Weerselo,60887.70844997,-21252
2005,Roswinkel,35121.09942996,-21004
2005,Rotterdam,56040.84451706,-1523
2005,Saaksum,283841.9914713001,-28512
2005,Schermer,0.0,0
2005,Schoonebeek Gas,129170.203318455,-17135
2005,Schoonebeek Olie,0.0,0
2005,Sebaldeburen,192106.93435799496,-31150
2005,Sleen,0.0,0
2005,Slootdorp,25416.067095,-3160
2005,Sprang,6546.430105005,-5998
2005,Starnmeer,0.0,0
2005,Suawoude,0.0,0
2005,Tietjerksteradeel,162911.07200580003,-139792
2005,Tubbergen,38861.272079755,-15059
2005,Tubbergen-Mander,15957.131660730003,1555
2005,Ureterp,137249.19283716002,-41753
2005,Vries,179926.54714028002,-15880
2005,Waalwijk-Noord,47143.30530817,-15400
2005,Wanneperveen,67164.82403005,17851
2005,Warffum,0.0,-68
2005,Warga-Wartena,8607.051485,439
2005,Weststellingwerf,0.0,-7802
2005,Zuid-Schermer,0.0,0
2005,Zuidwal,105911.35617000004,-17081
2006,'s-Gravenzande,314490.00972572505,-102022
2006,Ameland-Noord,0.0,0
2006,Ameland-Oost,399313.18886006495,-165616
2006,Ameland-Westgat,220183.507632145,14351
2006,Anjum,507523.71011935006,-196099
2006,Annerveen,329168.2130763747,-135162
2006,Appelscha,56005.020658575006,7024
2006,Barendrecht,2978.76770516,-38661
2006,Barendrecht-Ziedewij,7981.18518431,-73325
2006,Bedum,431470.865378455,-23410
2006,Bergen,67931.18504848231,-57578
2006,Bergermeer,60491.768541074176,-13916
2006,Berkel,3777.56411197,-747
2006,Blija-Ferwerderadeel,52419.429978305016,3477
2006,Blija-Zuidoost,105863.62126625,10140
2006,Blijham,44487.796261375,-14191
2006,Boerakker,171167.53831427498,-20421
2006,Botlek,485069.229328905,7941
2006,Bozum,1066.519065,-1006
2006,Castricum-Zee,0.0,0
2006,Coevorden,320194.5575305751,9790
2006,Collendoorn,7544.96517283,0
2006,Collendoornerveen,7196.326314480001,-1966
2006,D12-A,712694.1031513899,-76854
2006,D15a-A,28380.436265325003,21549
2006,D15a-A104,166282.342989925,-87285
2006,Dalen,115617.73246667,3638
2006,De Blesse,39867.34768,4615
2006,De Wijk,213517.3467844699,-159924
2006,Den Velde,13056.278922555,-4191
2006,Een,17881.08985739,-14249
2006,Eleveld,35946.11680401,-11512
2006,Emmen,108680.148318985,-4081
2006,Emmen-Nieuw Amsterdam,35448.626274415,2309
2006,Engwierum,0.0,0
2006,Ezumazijl,44016.291452975005,10455
2006,F02a-Hanze,54654.09123499999,-28329
2006,F03-FB,618365.42674451,-84223
2006,F15a-A,48712.49348050001,-24754
2006,F16-E,428847.4320771501,410677
2006,Feerwerd,0.0,-5878
2006,Franeker,2172.069985,1606
2006,G14-A&B,422979.9452661449,0
2006,G16a-A,160209.66888193,0
2006,G17a-S1,486986.8633101401,0
2006,G17cd-A,290322.464070845,-84586
2006,Gaag,183621.34262135,-137352
2006,Geestvaartpolder,85802.355457,34687
2006,Groet,23516.389876895,-29843
2006,Groet-Oost,1369.415754035,0
2006,Groningen,35028457.40334601,-609385
2006,Grootegast,148818.04688429003,-33464
2006,Grouw-Rauwerd,10516.447635000002,385
2006,Halfweg,8606.54934546,-47538
2006,Hardenberg,275239.8221329201,44898
2006,Harlingen Lower Cretaceous,152.962675,-547
2006,Harlingen Upper Cretaceous,57246.01739000001,-4968
2006,Haven,955.31414536,336
2006,Hekelingen,35803.662137324995,0
2006,Helder,4857.582924225002,1773
2006,Helm,1354.5393427050003,-666
2006,Hoogenweg,378.27564036,-315
2006,Hoorn,808.6419285050001,-170
2006,Horizon,4110.480517160002,244
2006,Houwerzijl,0.0,0
2006,J03-C Unit,219234.26241278,-39262
2006,K01-A Unit,902115.22919396,-140914
2006,K02b-A,536574.4341011,527828
2006,K04-A,49062.730535075,-15562
2006,K04-E,395636.23304656,195586
2006,K04-N,361389.77208242,-42208
2006,K04a-B,24559.86854338,-178762
2006,K05-C Unit,153993.785843025,109430
2006,K05a-A,625812.4398948451,-148642
2006,K05a-B,121183.12432404,-26991
2006,K05a-D,187371.08967968496,-100905
2006,K05a-En,64961.56864782001,-20430
2006,K05a-Es,19849.3228366,-20044
2006,K06-A,46543.77707028501,-10540
2006,K06-C,71595.145280975,-14068
2006,K06-D,150458.99775932502,-28481
2006,K06-DN,165957.05783984496,-34767
2006,K06-G,53771.432250435,-7461
2006,K06-N,2.8778081200000005,-53
2006,K06-T,5333.496222410001,-30155
